SITE CODE= 67016ó÷ìáésñÂëOí¨ëñèo        ,37.4962,137.2705,15.86,7.6,45292.67387,8.93,15.21
 LAT.=   37.2871,,,,,,,
 LON.=  136.7680,,,,,,,
 SAMPLING RATE= 100Hz,,,,,,,
 UNIT  = gal(cm/s/s),,,,,,,
INITIAL TIME = 2024 01 01 16 10 10,,,,,,,
 NS,EW,UD,,,,,
0.014,0.023,-0.013,,,,,
0.015,0.028,-0.014,,,,,
0.013,0.032,-0.009,,,,,
0.007,0.026,-0.007,,,,,
0.008,0.021,-0.005,,,,,
0.011,0.023,-0.001,,,,,
0.009,0.024,-0.003,,,,,
0.009,0.024,-0.008,,,,,
0.013,0.026,-0.008,,,,,
0.014,0.026,-0.008,,,,,
0.011,0.026,-0.013,,,,,
0.011,0.024,-0.016,,,,,
0.014,0.023,-0.013,,,,,
0.011,0.026,-0.011,,,,,
0.008,0.026,-0.013,,,,,
0.01,0.021,-0.014,,,,,
0.011,0.021,-0.013,,,,,
0.004,0.027,-0.013,,,,,
-0.004,0.033,-0.012,,,,,
-0.001,0.029,-0.009,,,,,
0.005,0.021,-0.006,,,,,
0.001,0.021,-0.005,,,,,
-0.001,0.022,-0.006,,,,,
0.003,0.023,-0.004,,,,,
0.002,0.026,0,,,,,
-0.001,0.024,-0.002,,,,,
0.002,0.018,-0.01,,,,,
0.006,0.016,-0.016,,,,,
0.009,0.012,-0.013,,,,,
0.006,0.009,-0.004,,,,,
0.002,0.016,0.002,,,,,
0.003,0.02,-0.002,,,,,
0.006,0.012,-0.008,,,,,
0.006,0.009,-0.009,,,,,
0.005,0.009,-0.011,,,,,
0.005,0.005,-0.014,,,,,
0.007,0,-0.009,,,,,
0.012,-0.005,-0.001,,,,,
0.014,-0.007,-0.002,,,,,
0.014,-0.003,-0.007,,,,,
0.021,-0.008,-0.008,,,,,
0.024,-0.015,-0.008,,,,,
0.018,-0.012,-0.01,,,,,
0.023,-0.012,-0.01,,,,,
0.031,-0.016,-0.006,,,,,
0.029,-0.015,0.003,,,,,
0.025,-0.014,0.009,,,,,
0.025,-0.02,0.001,,,,,
0.028,-0.025,-0.007,,,,,
0.03,-0.022,-0.005,,,,,
0.028,-0.019,-0.002,,,,,
0.026,-0.019,-0.006,,,,,
0.029,-0.018,-0.008,,,,,
0.033,-0.015,-0.007,,,,,
0.033,-0.017,-0.007,,,,,
0.033,-0.015,-0.004,,,,,
0.028,-0.011,0.002,,,,,
0.019,-0.014,0.002,,,,,
0.013,-0.018,-0.001,,,,,
0.016,-0.013,-0.007,,,,,
0.017,-0.009,-0.012,,,,,
0.006,-0.01,-0.007,,,,,
-0.007,-0.007,-0.002,,,,,
-0.005,-0.003,-0.004,,,,,
0.002,-0.008,-0.003,,,,,
-0.004,-0.01,-0.001,,,,,
-0.016,-0.004,-0.003,,,,,
-0.019,-0.001,-0.004,,,,,
-0.018,-0.003,-0.004,,,,,
-0.014,-0.003,-0.002,,,,,
-0.014,-0.001,-0.001,,,,,
-0.021,0.002,-0.004,,,,,
-0.023,-0.001,-0.008,,,,,
-0.022,-0.003,-0.007,,,,,
-0.025,0.004,-0.009,,,,,
-0.029,0.008,-0.013,,,,,
-0.026,0.006,-0.01,,,,,
-0.02,0.006,-0.007,,,,,
-0.02,0.009,-0.013,,,,,
-0.023,0.01,-0.019,,,,,
-0.022,0.009,-0.017,,,,,
-0.018,0.007,-0.014,,,,,
-0.022,0.011,-0.012,,,,,
-0.028,0.016,-0.011,,,,,
-0.031,0.012,-0.005,,,,,
-0.026,0.007,0.003,,,,,
-0.016,0.009,0.005,,,,,
-0.012,0.013,0.002,,,,,
-0.019,0.012,-0.002,,,,,
-0.02,0.008,-0.003,,,,,
-0.016,0,-0.003,,,,,
-0.016,-0.003,-0.008,,,,,
-0.019,0,-0.011,,,,,
-0.023,0.004,-0.005,,,,,
-0.025,0,-0.003,,,,,
-0.022,-0.005,-0.01,,,,,
-0.017,-0.003,-0.013,,,,,
-0.016,-0.001,-0.014,,,,,
-0.016,-0.008,-0.015,,,,,
-0.014,-0.012,-0.015,,,,,
-0.01,-0.007,-0.016,,,,,
